CNAG_06814,MAT
CNAG_06813,MAT
CNAG_06812,MAT
CNAG_06811,MAT
CNAG_06810,MAT
CNAG_06809,MAT
CNAG_06808,MAT
CNAG_06807,MAT
CNAG_06806,MAT
CNAG_06805,MAT
CNAG_06804,MAT
CNAG_07406,MAT
CNAG_07407,MAT
CNAG_06971,MAT
CNAG_07408,MAT
CNAG_06980,MAT
CNAG_07409,MAT
CNAG_07005,MAT
CNAG_07004,MAT
CNAG_07410,MAT
CNAG_07015,MAT
CNAG_07411,MAT
CNAG_01457,MAT
CNAG_01456,MAT
CNAG_01455,MAT
CNAG_01454,MAT
CND05910,MAT
CND05900,MAT
CND05870,MAT
CND05860,MAT
CND05850,MAT
CND05840,MAT
CND05830,MAT
CND05820,MAT
CND05810,MAT
CND05800,MAT
CND05780,MAT
CND05770,MAT
CND05760,MAT
CND05740,MAT
CND05700,MAT
CND05660,MAT
CNAG_00378,Centromeres
CNAG_00383,Centromeres
CNA03600,Centromeres
CNA03720,Centromeres
CNAG_03796,Centromeres
CNAG_03805,Centromeres
CNB02900,Centromeres
CNB02980,Centromeres
CNAG_07972,Centromeres
CNAG_06879,Centromeres
CNK00540,Centromeres
CNK00480,Centromeres
CNAG_05202,Centromeres
CNAG_05215,Centromeres
CNL04230,Centromeres
CNL04140,Centromeres
CNAG_00960,Centromeres
CNAG_00941,Centromeres
CND00900,Centromeres
CND00800,Centromeres
CNAG_02254,Centromeres
CNAG_02240,Centromeres
CNE02910,Centromeres
CNE03010,Centromeres
CNAG_06699,Centromeres
CNAG_05671,Centromeres
CNF03160,Centromeres
CNF03020,Centromeres
CNAG_03251,Centromeres
CNAG_03258,Centromeres
CNG03220,Centromeres
CNG03180,Centromeres
CNAG_04417,Centromeres
CNAG_07769,Centromeres
CNI01300,Centromeres
CNI01260,Centromeres
CNAG_04857,Centromeres
CNAG_04855,Centromeres
CNJ02870,Centromeres
CNJ02770,Centromeres
CNAG_01780,Centromeres
CNAG_01788,Centromeres
CNC02790,Centromeres
CNC02800,Centromeres
CNAG_06036,Centromeres
CNAG_06048,Centromeres
CNM00480,Centromeres
CNM00580,Centromeres
CNAG_06475,Centromeres
CNAG_06482,Centromeres
CNN01950,Centromeres
CNN02060,Centromeres
CNAG_05486,Centromeres
CNAG_05496,Centromeres
CNH01440,Centromeres
CNH01520,Centromeres
CNAG_10500,rRNA
CNAG_10501,rRNA
CNAG_10502,rRNA
CNAG_10503,rRNA
CNB00940,rRNA
CNB00970,rRNA
CNA00300,ERG11
CNAG_00040,ERG11
CNA08290,ERG2
CNAG_00854,ERG2
CNA07090,AFR1
CNAG_00730,AFR1
