Podospora,CU633438.1,1
Podospora,CU633445.1,1
Podospora,CU633867.1,1
Podospora,CU633897.1,1
Podospora,CU633899.1,1
Podospora,CU633901.1,1
Podospora,CU633446.1,2
Podospora,CU633447.1,2
Podospora,CU640366.1,2
Podospora,CU633448.1,3
Podospora,CU633453.1,3
Podospora,CU638743.1,3
Podospora,CU633454.1,4
Podospora,CU633455.1,4
Podospora,CU633456.1,4
Podospora,CU633895.1,4
Podospora,CU607053.1,5
Podospora,CU633457.1,5
Podospora,CU633458.1,5
Podospora,CU633459.1,5
Podospora,CU633461.1,5
Podospora,CU633865.1,5
Podospora,CU633866.1,5
Podospora,CU633870.1,5
Podospora,CU633871.1,5
Podospora,CU633876.1,5
Podospora,CU633463.1,6
Podospora,CU633872.1,6
Podospora,CU633898.1,6
Podospora,CU638744.1,6
Podospora,CU633464.1,7
Podospora,CU633873.1,7
Podospora,CU633900.1,7
Cercophora,JAULSY010000001.1,QBC41scaffold_1
Cercophora,JAULSY010000010.1,QBC41scaffold_10
Cercophora,JAULSY010000100.1,QBC41scaffold_100
Cercophora,JAULSY010000101.1,QBC41scaffold_101
Cercophora,JAULSY010000102.1,QBC41scaffold_102
Cercophora,JAULSY010000103.1,QBC41scaffold_103
Cercophora,JAULSY010000104.1,QBC41scaffold_104
Cercophora,JAULSY010000105.1,QBC41scaffold_105
Cercophora,JAULSY010000106.1,QBC41scaffold_106
Cercophora,JAULSY010000107.1,QBC41scaffold_107
Cercophora,JAULSY010000108.1,QBC41scaffold_108
Cercophora,JAULSY010000109.1,QBC41scaffold_109
Cercophora,JAULSY010000011.1,QBC41scaffold_11
Cercophora,JAULSY010000110.1,QBC41scaffold_110
Cercophora,JAULSY010000111.1,QBC41scaffold_111
Cercophora,JAULSY010000112.1,QBC41scaffold_112
Cercophora,JAULSY010000113.1,QBC41scaffold_113
Cercophora,JAULSY010000114.1,QBC41scaffold_114
Cercophora,JAULSY010000115.1,QBC41scaffold_115
Cercophora,JAULSY010000116.1,QBC41scaffold_116
Cercophora,JAULSY010000117.1,QBC41scaffold_117
